name
"ISO-Lateral Low Row"
"Preacher Curl Machine"
"Cable Row"
"Alternating Bicep Curl Wide"
"Biangular Lat Pulldown"
"Seated Hammer Curl"
"Straight Arm Pulldown"
"Pull up"
"Bar Curl"
"Hammer Curl In"
"Machine ISO Row"
"Beigan Cable Curl"
"Prone Press"
"Bench Press"
"Overhead Tricep Extension"
"Reverse Fly"
"Squeeze Press"
"Tricep Pushdown"
"Cable Front Raise"
"Side Raise"
"Inclined Bench Press"
"Tricep Cable Extension"
"Dumbbell Shoulder Press"
"Dip"
"Egyptian Lateral Raise"
"Squat"
"RDL"
"Seated Calf Raise"
"Bulgarian Split Squat"
"Hamstring Curl"
"Standing Calf Raise"
"Leg Press"
"Leg Extension"
