workoutName,exerciseName,setNum,reps,weight,notes,date
Legs,"Bulgarian Split Squat",3,6,35,"",2023-02-14
Legs,"Hamstring Curl",1,10,130,"",2023-02-14
Legs,"Hamstring Curl",2,10,130,"",2023-02-14
Legs,"Hamstring Curl",3,8,130,"",2023-02-14
Legs,"Standing Calf Raise",1,10,230,"",2023-02-14
Legs,"Standing Calf Raise",2,7,230,"",2023-02-14
Legs,"Standing Calf Raise",3,8,210,"",2023-02-14
Legs,"Leg Press",1,8,230,"",2023-02-14
Legs,"Leg Press",2,8,270,"",2023-02-14
Legs,"Leg Press",3,8,290,"",2023-02-14
Legs,"Leg Extension",1,9,150,"",2023-02-14
Legs,"Leg Extension",2,9,150,"",2023-02-14
Legs,"Leg Extension",3,9,150,"",2023-02-14
